
-------------------------Normal--------------------------

1223136;1247389;1158691;1072725;1171931;1108121;1278290;1027704;1136275;1110764;1232921;1199360;1149908;1144810;977006;1221179;1251608;1281007;1281765;1043602;1194925;1214084;1319329;1192757;1327365;1209892;1113024;1352459;1044982;1323649;1115860;1202828;1033554;1384086;1159033;1226420;1003398;1262602;1490091;1168502;1314465;1091751;1100020;1120405;1355842;1333676;1033819;1283653;1150955;1286159;
1098041;1095152;932388;946400;1072682;919367;1017595;874534;842732;874346;1084385;916427;871031;853414;847988;972631;922661;1006011;1124029;925573;989488;895506;1030366;954897;1008914;939475;820695;1068927;884074;1036047;866386;956053;817052;1079683;936053;891738;830884;913595;1111449;959744;1155504;941392;933250;969596;1031521;1043544;863125;973536;1080780;1081663;
1003875;976484;1007059;969029;977255;917121;1046491;905541;956998;996092;1080193;1015092;949192;935146;845342;997736;1077244;956578;1156694;950300;955212;925531;965470;973859;1054691;1001025;858530;1099544;943725;1072989;838253;991226;869461;1094051;1018426;1063979;890276;884923;1173960;928455;1205138;939446;872052;904594;1063396;1125622;924495;1042724;1046788;1015873;
1352761;1327887;1210190;1237258;1307267;1135335;1227437;1168965;1180040;1153768;1327572;1246311;1154313;1162626;1129365;1221408;1264543;1191423;1463557;1183888;1227430;1151471;1234940;1200176;1342985;1412570;1082581;1364403;1098055;1285410;1111188;1321961;1175137;1317249;1389093;1283745;1120521;1217651;1556151;1140344;1374639;1254367;1168549;1238505;1294340;1306466;1074920;1304756;1261428;1362030;
991717;1059037;1022283;921599;1034259;947840;1050146;951651;965433;917206;1147042;1020761;892716;966301;863576;912666;1066671;939316;1044226;1010037;947905;1006572;993006;965111;1052083;918275;926220;1101738;929538;1004861;1001244;953120;857667;1076164;1038095;1027010;875660;932734;1232032;934741;1164020;921762;906062;991521;959370;1025880;920473;1066777;1074210;1094227;
1114040;1179047;984825;1020656;1048456;950852;1080092;876386;1012741;991803;1153807;1125387;998800;1006192;883736;985356;1078026;1118290;1181210;997890;1074547;986634;1056590;1019964;1164003;1070087;1018730;1238012;928310;1090272;1053889;1068439;915539;1201202;1146929;1136168;867648;1033957;1332526;998037;1196102;1040830;986520;1037743;1059805;1100959;989486;1142684;1097153;1152646;
1037071;1016517;865449;939522;1043967;1015571;1038764;895714;1042618;838585;1068890;1048026;939997;1004010;892546;905251;1028954;1023491;1129509;901357;1075847;957707;1017867;937202;1017428;1021472;892198;1051679;898924;1038902;891982;1028634;921201;1083911;1015941;1044201;812348;1059752;1167766;959792;1149838;998373;965668;989670;1056808;1019695;898926;1127372;1030033;1072540;
1164446;1193132;1085389;1056030;1136710;1005423;1102285;1097359;1137637;983512;1278719;1191105;1028681;1090287;1084013;978598;1127084;1203435;1204996;1132515;1060350;1147769;1265182;1149951;1196412;1131007;1037580;1179099;1041583;1262385;1096938;1046038;959388;1226922;1180899;1187235;1017756;1240542;1477880;1065167;1281298;1164226;1068324;1090595;1203594;1201410;1061828;1227616;1055124;1298834;
1135392;1263562;1183347;1116801;1116472;1037761;1248076;1053218;1113170;1119967;1272651;1134333;1004951;1092500;1027191;1099863;1184915;1224392;1255910;1130185;1077832;1089030;1247052;1077879;1148628;1048737;1015886;1203756;1087767;1184091;1042997;1159386;926423;1290075;1116134;1157523;964544;1143974;1386699;1065184;1433161;1231054;964511;1121540;1198227;1234907;1041347;1202564;1192550;1235771;
1175439;1299899;1106256;1179517;1183874;1075945;1101041;1178470;1109778;1109857;1166992;1166419;1079117;1082013;959359;1138665;1255541;1252860;1277793;1106957;1142467;1126306;1133306;1039360;1244339;1177792;1022559;1264738;941279;1181350;1034276;1217529;999245;1216863;1184521;1246812;1113686;1197670;1487446;1020067;1339816;1077089;1030519;1165606;1310971;1239507;1038568;1385354;1134391;1196819;
